ds;y;High;Low;Close;Adj Close;Volume
2017-01-12;10221.537109;10381.167969;10185.491211;10381.167969;6902.067383;133711
2017-04-12;10426.482422;10587.143555;10329.673828;10469.737305;6960.954102;113742
2017-05-12;10427.512695;10430.602539;10227.715820;10378.078125;6900.014160;132193
2017-06-12;10321.435547;10491.365234;10232.865234;10469.737305;6960.954102;127989
2017-07-12;10298.778320;10453.259766;10266.851563;10363.660156;6890.427734;106102
2017-08-12;10389.407227;10488.275391;10323.495117;10378.078125;6900.014160;94862
2017-11-12;10355.420898;10734.416016;10334.823242;10734.416016;7136.929199;130414
2017-12-12;10711.758789;11109.291992;10690.131836;11109.291992;7386.170898;261454
2017-12-13;11091.784180;11091.784180;10751.923828;10826.075195;7197.870117;137929
2017-12-14;10824.015625;11008.363281;10790.029297;10987.765625;7305.372070;126081
2017-12-15;10968.198242;11059.857422;10753.983398;10911.554688;7254.702637;168142
2017-12-18;10937.301758;11080.455078;10826.075195;10999.094727;7312.904297;133851
2017-12-19;10999.094727;11018.662109;10844.613281;10971.288086;7294.416504;90448
2017-12-20;10875.509766;11019.692383;10875.509766;10930.092773;7267.027832;105123
2017-12-21;10939.362305;11037.200195;10763.252930;10845.642578;7210.879883;133394
2017-12-22;10844.613281;11049.558594;10713.818359;11029.991211;7333.446289;102724
2017-12-25;11029.991211;11029.991211;10937.301758;10973.347656;7295.786133;26154
2017-12-26;10955.839844;11003.213867;10844.613281;10946.571289;7277.983398;34267
2017-12-27;10879.628906;11019.692383;10813.716797;10938.332031;7272.507324;121227
2017-12-28;10966.138672;11038.230469;10902.286133;11013.512695;7322.490234;67905
2017-12-29;11007.333984;11179.323242;10924.943359;11174.173828;7429.308105;90268
2018-03-01;11205.070313;11639.678711;11205.070313;11639.678711;7738.805664;148571
2018-04-01;11647.917969;11946.582031;11605.692383;11931.133789;7932.583496;195072
2018-05-01;11952.761719;11986.747070;11798.280273;11910.536133;7918.888672;185690
2018-09-01;11956.880859;12146.378906;11936.283203;12023.823242;7994.210449;238501
2018-10-01;12018.673828;12046.480469;11825.056641;12003.225586;7980.515137;224618
2018-11-01;11961.000977;12204.051758;11884.790039;12010.434570;7985.309082;218662
2018-12-01;12008.375000;12072.227539;11824.026367;11946.582031;7942.854980;125281
2018-01-15;12009.405273;12101.064453;11925.984375;12101.064453;8045.564453;132344
2018-01-16;12044.420898;12049.570313;11658.216797;11714.859375;7788.791992;207815
2018-01-17;11666.455078;11841.535156;11467.689453;11841.535156;7873.013672;256052
2018-01-18;11841.535156;11977.478516;11757.084961;11905.386719;7915.466309;193958
2018-01-19;11912.596680;11946.582031;11724.128906;11812.698242;7853.840332;151399
2018-01-22;11792.100586;11914.656250;11730.307617;11831.236328;7866.166016;152790
2018-01-24;11524.332031;11717.949219;11292.610352;11663.366211;7754.555176;240688
2018-01-25;11761.204102;11881.700195;11689.113281;11881.700195;7899.717285;255110
2018-01-26;11869.341797;11869.341797;11556.258789;11761.204102;7819.604004;170549
2018-01-29;11843.594727;12058.838867;11762.234375;11883.759766;7901.086426;202085
2018-01-30;11758.114258;11863.162109;11705.590820;11826.086914;7862.742676;161852
2018-01-31;11792.100586;12012.494141;11744.726563;11954.821289;7948.333984;169919
2018-01-02;11953.791016;12101.064453;11891.999023;11986.747070;7969.560059;167914
