ds;y;High;Low;Close;Adj_Close;Volume
2018-08-20;4395.000000;4425.000000;4370.000000;4386.000000;3454.277344;268812
2018-08-21;4395.000000;4466.500000;4353.000000;4465.000000;3516.494873;511221
2018-08-22;4472.000000;4512.500000;4449.000000;4512.500000;3553.904541;507835
2018-08-23;4515.000000;4541.000000;4421.000000;4450.000000;3504.681641;657190
2018-08-24;4450.000000;4531.500000;4423.000000;4500.500000;3544.454102;629551
2018-08-27;4502.000000;4577.000000;4492.000000;4577.000000;3604.702881;249930
2018-08-28;4580.500000;4598.000000;4545.000000;4587.500000;3612.972412;405987
2018-08-29;4590.000000;4687.500000;4585.000000;4638.500000;3653.137939;641179
2018-08-30;4663.000000;4738.000000;4640.500000;4702.000000;3703.148926;687858
2018-08-31;4695.000000;4719.500000;4663.000000;4700.500000;3701.967041;711667
2018-09-03;4698.000000;4749.000000;4685.500000;4728.000000;3723.625488;287648
2018-09-04;4747.000000;4762.500000;4704.500000;4717.000000;3714.962402;352065
2018-09-05;4704.000000;4710.500000;4637.000000;4637.000000;3651.957031;529556
2018-09-06;4628.000000;4650.000000;4594.000000;4610.500000;3631.086426;581930
2018-09-07;4620.000000;4649.000000;4547.000000;4623.000000;3640.930420;603404
2018-09-10;4648.500000;4715.000000;4643.000000;4688.500000;3692.516357;413243
2018-09-11;4677.000000;4746.500000;4665.500000;4706.500000;3706.692383;766652
2018-09-12;4705.000000;4744.500000;4622.500000;4622.500000;3640.537354;587177
2018-09-13;4621.000000;4688.500000;4608.000000;4659.000000;3669.282715;588719
2018-09-14;4650.000000;4670.000000;4603.000000;4604.000000;3625.967529;442326
2018-09-17;4619.000000;4643.000000;4572.000000;4631.000000;3647.231934;454393
